;;;;;;;;;;;;;;;LIEFERSCHEIN;;;;;
;;;;;;;;;;;;;;Biberweg 6 53842 Troisdorf;;;;;;
;"Das Haus des Döners GmbH Köln Ehrenfeld 
Bertan
Venloer Str. 361
50823Köln Ehrenfeld";;;;;;;;;;;;https://tur.kkbestellung.de/il_portal.php?code=MTA3fDE3NDkxMjQwMTk=;;;;LS2025-KKT007898;;;
;;;;;;;;;;;;;;;;;LS-Datum:;;;11.06.2025
;;;;;;;;;;;;;;;;;Kunden-Nr.:;;;10005
;;;;;;;;;;;;;;;;;Seite:;;;1/1
;Lieferadresse:;;;;;"Venloer Str. 361; 50823; Köln Ehrenfeld; Deutschland";;;;;;;;;;;;;;
;NR;;Artikel-Nr;;Kolli;;;Stk.;;;Artikelbezeichnung;;;;;;;MHD;;
;;1;;2129;;;2;;2,000;;;Capri-Sun Safari 0,2l*40St.;;;;;;;;
;;2;;2000;;;14;;14,000;;;Dose Coca-cola  24st*330ml MW;;;;;;;;
;;;;;;;;;14;;Pfand 6,00;;;;;;;;;
;;3;;2002;;;12;;12,000;;;Dose Zero 24st*330ml MW;;;;;;;;
;;;;;;;;;12;;Pfand 6,00;;;;;;;;;
;;4;;2001;;;4;;4,000;;;Dose Exotic  24st*330ml MW;;;;;;;;
;;;;;;;;;4;;Pfand 6,00;;;;;;;;;
;;5;;2003;;;2;;2,000;;;Dose Fanta 24st*330ml MW;;;;;;;;
;;;;;;;;;2;;Pfand 6,00;;;;;;;;;
;;6;;2045;;;1;;1,000;;;Glas Fanta 24*0,2l MW;;;;;;;;
;;;;;;;;;1;;Pfand 5,10;;;;;;;;;
;;7;;2144;;;5;;5,000;;;Dose Fuzetea Pfirsch Sorten 24*0,33ml DPG;;;;;;;;
;;;;;;;;;5;;Pfand 6,00;;;;;;;;;
;;8;;2024;;;1;;1,000;;;CocaCola Pet Lift/Äpfelschorle 12*0,5l DPG ;;;;;;;;
;;;;;;;;;1;;Pfand 3,00;;;;;;;;;
;;9;;2039;;;2;;2,000;;;Glas Mezzomix 24*0,2 MW;;;;;;;;
;;;;;;;;;2;;Pfand 5,10;;;;;;;;;
;;10;;2011;;;8;;8,000;;;Dose Uludadg 24st*330ml MW;;;;;;;;
;;;;;;;;;8;;Pfand 6,00;;;;;;;;;
;;11;;2101;;;3;;3,000;;;Vio Wasser SPRITZIG 18*0,5l ;;;;;;;;
;;;;;;;;;3;;Pfand 4,50;;;;;;;;;
;;12;;2100;;;6;;6,000;;;Vio Wasser Still 18*0,5l ;;;;;;;;
;;;;;;;;;6;;Pfand 4,50;;;;;;;;;
"Haus Des Logistics
Biberweg 6 53842 Troisdorf
Tel:   +49 (0) 224-187 97 086
Fax: +49 (0) 221-966 11 511";;;;;;;;;;"Bank Name: Sparkasse Köln Bonn
Konto-Nr/BLZ: 1936823036 / 37050198
IBAN:DE08 3705 0198 1936 8230 36
BIC:COLSDE33XXX
Neue Konto Verbindung !";;;;;;"USt-IdNr: DE300719366
SteuerNr: 218/5248/3284
Gerichsstand: Köln
Mail: info@hausdeslogistics.de
Web: www.hausdeslogistics.de";;;;
